ID,Title,Abstract,Year,Database,Journal,Screening_Reason,Sample_Size,Gender_Details,Age_Details,Race_Ethnicity_Details,Country_of_Study,Extraction_Notes,Assigned_Categories,Pediatrics (<=18),Young Adult (19-35),Middle-aged (36-60),Senior/Elderly (>60),Not Reported,Age Diversity Index
92,Facial expression arousal level modulates facial mimicry.,"We investigated the effect of facial expression arousal level and mode of presentation on facial mimicry. High- and low-arousal facial expressions indicating pleasant and unpleasant emotions were presented both statically and dynamically. Participants' facial electromyographic (EMG) reactions were recorded from the zygomatic major and corrugator supercilii muscles. Stronger zygomatic major muscle activity was evoked for high- compared to low-arousal pleasant expressions. Comparable activity was induced in the corrugator supercilii muscle in response to both high- and low-arousal unpleasant expressions, and this was true for both dynamic and static presentations. These results suggest that the arousal levels of pleasant, but not unpleasant, facial expressions can enhance facial mimicry.",2010,PubMed,International Journal of Psychophysiology,"The study is an original empirical research paper that uses facial EMG as a core data collection modality in human participants to investigate facial mimicry, and it meets all other inclusion criteria.",38,33 women and 5 men,"mean± SD age, 20.65±0.8 years",Japanese,Japan,The demographic data for the initially recruited participants is located in the '2.1. Participants' section. The final data analysis was conducted on a subset of 32 participants after exclusions for artifacts.,Biomechanics & Kinematics,0,1,0,0,0,1.6
93,Distribution of motor unit potential velocities in the biceps brachii muscle of sprinters and endurance athletes during short static contractions at low force levels.,"In surface electromyography (sEMG), the distribution of motor unit potential (MUP) velocities has been shown to reflect the proportion of faster and slower propagating MUPs. This study investigated whether the distribution of MUP velocities could distinguish between sprinters and endurance athletes in not-specifically trained muscle (biceps brachii). sEMG results were acquired from 15 sprinters and 18 endurance athletes during short static contractions (3.8s) at three force levels: unloaded, 10% and 20% of maximum voluntary contraction. The features extracted from the sEMG were: the mean muscle conduction velocity (CV) - estimated using the inter-peak latency and the cross-correlation methods, the within-subject skewness of MUP velocities (expressing the relative proportions of faster and slower propagating MUPs), and the within-subject standard deviation of MUP velocities. Sprinters had a higher CV than endurance athletes using both methods. Sprinters also demonstrated a greater proportion of fast propagating MUPs, as indicated by the skewness. Thus, the distribution of MUP velocities was able to demonstrate physiological differences between sprinters and endurance athletes during short contractions at low forces. The findings can be extrapolated to the motor unit level. Since the investigated muscle was not involved in specific training, the differences seem to reflect inherited properties.",2010,PubMed,Journal of Electromyography and Kinesiology,"The paper is a primary empirical study published in 2010, using sEMG as a core modality to compare muscle properties in human athletes, thus meeting all inclusion criteria.",33,"33 Males (15 sprinters, 18 endurance athletes)",Sprinters: 23 ± 4 years; Endurance athletes: 26 ± 5 years,Not reported,The Netherlands,"Participant demographics were clearly described in the '2.1. Subjects' section, which provided the sample size, gender, and age details for the sprinter and endurance athlete groups.","Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics",0,1,0,0,0,12
94,Electromyographic and cephalometric correlation with the predominant masticatory movement.,"OBJECTIVE: This study aimed to evaluate the chewing muscular dynamics and correlate the side of the masticatory movement that is more vertical and/or more horizontal established by the photomeasurement Masticatory Functional Angle (MFA) to the muscular activity behavior, showed in the surface electromyography and in the radiographic images. MATERIAL AND METHOD: Seventeen people were selected of both genders, with the average age of 25 years, without signs or apparent symptoms of masticatory muscular disorders. The teleradiographies were done in lateral norm and surface electromyography of the masseter muscles, anterior portion of temporal and supra-hyoids in rest position and maximal bite. The bite force measured with a metallic transducer that was connected to a force sensor (Strain Gauge) to measure the deformation of the material model SF4 (EMG SYSTEM DO BRASIL). A mandibular goniometer of the EMG System of Brazil was used to measure the opening size. RESULTS: The comparison and correlation were established between the groups with MFA>5 degrees and MFA<5 degrees by the test ""t"" of Student or test of Mann-Whitney conform the distribution was normal or not, respectively. The results showed significant differences between groups, although without sexual dimorphism, to masseter muscle in maximal bite. CONCLUSION: In conclusion, the anatomic-physiological aspects of temporomandibular disorders are related to the asymmetrical mandible function.",2010,PubMed,Proceeding of Japanese Society of Stomatognathic Function,"The study is a primary empirical investigation using surface EMG as a core modality to assess masticatory muscle dynamics in human participants, published in English in 2010.",17,"Participants were of both genders, but the exact number of males and females was not specified.",Average age of 25 years.,Not reported,Brazil,"The participant demographics were found in the 'MATERIAL AND METHODS' section. The text specifies the total number of participants, their average age, and that they were of both genders, but lacks a specific gender breakdown or any mention of race/ethnicity.",Biomechanics & Kinematics,0,1,0,0,0,0
95,Changes in muscle fascicles of tibialis anterior during anisometric contractions are not associated with motor-output variability of the ankle dorsiflexors in young and old adults.,"This study examined the associations between the fluctuations of foot acceleration during shortening and lengthening contractions with the electromyographic (EMG) activity of lower leg muscles and ultrasound measures of tibialis anterior fascicle length and pennation angle. Young (24.9 ?? 4.17 years) and old (74.8 ?? 3.31 years) adults lifted and lowered a submaximal load with the foot at different speeds (3??/s-50??/s). The standard deviation (SD) of foot acceleration normalized to the load lifted was similar for young (12.2 ?? 7.22 cm s(-2)/kg) and old adults (14.3 ?? 8.03 cm s(-2)/kg; P = 0.093). The changes in tibialis anterior muscle fascicle length and pennation angle were similar for young and old adults (P ??? 0.233), but greater for shortening (fascicle length: 0.937 ?? 0.633 cm, pennation angle: 1.61 ?? 0.918??) than for lengthening contractions (fascicle length: 0.806 ?? 0.521 cm, pennation angle: 0.966 ?? 0.632??; P ??? 0.014). The changes in fascicle length and pennation angle were not associated with the SD of foot acceleration (r(2) ??? 0.031; P ??? 0.092). The surface EMG of tibialis anterior was greater for the shortening contractions than for the lengthening contractions (P < 0.001), but triceps surae EMG was similar for the two types of contractions (P = 0.304). The results suggested that the influence of movement speed on variability in performance was similar for shortening and lengthening contractions with the dorsiflexor muscles; furthermore, old adults were able to match the performance of young adults.",2010,PubMed,European Journal of Applied Physiology,"The paper is a primary empirical study from 2010 using surface EMG as a core modality in human participants, meeting all inclusion criteria.",27,13 young adults (7 men) and 14 old adults (8 women),Young adults: 24.9 ± 4.17 years; Old adults: 74.8 ± 3.31 years,Not reported,USA,"Participant numbers, age, and gender details were found in the first paragraph of the Methods section. The country of study was identified from the authors' affiliation and the ethics committee approval mentioned in the same section.","Biomechanics & Kinematics, Sports & Ergonomics",0,1,1,1,0,57.38
96,Isometric back muscle endurance: an EMG study on the criterion validity of the Ito test.,"The validity of the Sorensen test as a measure for back muscle endurance is controversial due to a possible impact of hip extensor muscles. The aim of this study was to investigate the criterion validity of an alternative test (Ito test) compared to the Sorensen test. Both procedures were performed by 29 healthy subjects (11 women) for 5s and until exhaustion (randomized order). EMG activity was measured from 3 lumbar back and 3 hip extensor muscles. Muscular involvement in test positions was calculated as percentage of maximal voluntary contraction (MVC). Muscle fatigue was determined by the normalized regression coefficient of the median frequencies of the EMG power spectrum (NMF(slope)). Prediction of holding time by NMF(slope) values was investigated using regression analysis. In the test positions, the hamstring muscles were activated to a higher MVC percentage in the Sorensen than in the Ito test, while the iliocostalis muscle was less activated. Similarly, the iliocostalis (p=0.006) and the multifidi muscles (p=0.03) significantly contributed to predict holding time in the Ito test, whereas the multifidi muscles (p=0.001) and the semitendinosus muscle (p=0.046) did so in the Sorensen test. The results of this study indicate that the Ito test might present a valuable alternative for testing back muscle endurance in LBP patients.",2010,PubMed,Journal of Electromyography and Kinesiology,"The paper is an original empirical study from 2010 that uses surface EMG as a core modality to collect new data on human participants, satisfying all inclusion criteria.",29,"11 women, 18 men",Mean 25.1 ± 1.9 years,Not reported,Switzerland,"Participant demographic information, including sample size, gender, and age, was found in the first sentence of the '2.1. Subjects' section. Race and ethnicity were not reported in the paper.","Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics",0,1,0,0,0,3.8
97,Ankle muscle activation when using the Both Sides Utilized (BOSU) balance trainer.,"The use of the Both Sides Utilized (BOSU) balance trainer has become increasingly popular among fitness and medical personnel. Many fitness facilities, physical therapy clinics, and athletic training rooms routinely use this piece of equipment for strengthening, balance training, functional assessments, and rehabilitating various injuries. However, there are currently little data describing the effectiveness of this balance device. Therefore, the purpose of this study was to determine which side of the BOSU balance trainer would generate a greater amount of tibialis anterior, peroneus longus, or medial gastrocnemius muscle activity using electromyography (EMG). Twenty, healthy, collegiate male subjects participated (age = 21.4 +/- 1.4 years; height = 179.4 +/- 8.6 cm; mass = 80.0 +/- 12.1 kg). Each subject performed 3 single-leg stance trials on each side of the BOSU balance trainer. The average EMG data from these trials were compared with maximal voluntary isometric contraction (MVIC) measures and represented an average percentage of these MVICs. We found no significant differences in EMG data for any muscle between conditions (p > 0.54). With regard to ankle muscle activity, both sides of the BOSU balance trainer produce similar difficulty during a balance training task. Therefore, no particular side of this device would provide any increase in muscle activity compared with the other side when used for improvements in balance or during the rehabilitation of lower extremity injuries.",2010,PubMed,Journal of Strength and Conditioning Research,"The study is original empirical research using surface EMG as a core modality to measure ankle muscle activation in human participants, published in English in 2010.",20,"Twenty, male subjects",21.4 ± 1.4 years,Not reported,USA,Participant demographic information was clearly stated in the 'Subjects' subsection of the 'METHODS' section. Race and ethnicity information was not reported in the paper.,"Biomechanics & Kinematics, Rehabilitation & Therapy",0,1,0,0,0,2.8
99,A New Control Method for Power-Assisted Wheelchair Based on the Surface Myoelectric Signal,"In this paper, we design a new controller for power-assisted wheelchairs. Conventional power-assist controllers only focus on the amplification of the human input force using torque sensor. Our proposed controller does not use a torque sensor but an electromyogram sensor to estimate the driver's intention. We also use a disturbance observer to compensate for the lack of propelling torque information since it is difficult to simply regard the myoelectric signals as propelling torque. Then, we decide assist torque by combining the filtered myoelectric signals and the estimated human torque signal calculated by the disturbance observer. Experimental results show that the proposed power-assist method realizes fast, stable, and smooth acceleration.",2010,IEEE,IEEE Transactions on Industrial Electronics,"This is a primary empirical research article describing a new wheelchair control system using sEMG as a core data collection modality with a human participant, published in 2010.",1,1 Male,23 years old,Not reported,Japan,"Participant information was found in Section III-B, 'EMG Sensor'. The paper explicitly states 'The human subject was a 23-year-old healthy man'.","Biomechanics & Kinematics, HCI & Prosthetics",0,1,0,0,0,0
101,Relationship between ease of swallowing and deglutition-related muscle activity in various postures.,"The purpose of this study was to investigate the relationship between the ease of swallowing and the deglutition-related muscle activity in various body and head postures by surface electromyography (EMG). Bipolar surface electrodes were placed on the right suprahyoid and infrahyoid muscles of nine healthy adults (19-28 years) while swallowing jelly. Ten postures per subject were examined: five body angulations (0 degrees [supine], 30 degrees, 60 degrees, 90 degrees [upright] and 120 degrees from the horizontal) and two head positions (chin-up and chin-down). The duration and amplitude of suprahyoid and infrahyoid muscle activity were measured by an electromyograph, and the ease of swallowing was subjectively determined by using a rating scale (0 = difficult to swallow, 10 = easy to swallow). The group-average duration and amplitude of muscle activity and the group-average rating scales mostly showed insignificant changes with the body angulations independent of the head positions. Interestingly, the duration and amplitude of muscle activity during swallowing were negatively correlated with the rating scales, indicating that a shorter duration and smaller activity of muscle activity corresponds to easier swallowing. Consequently, the duration and amplitude of suprahyoid and infrahyoid muscle activity measured by surface EMG would be a useful indicator of the easy-to-swallow performance.",2010,PubMed,Journal of Oral Rehabilitation,"The study is original empirical research collecting new surface EMG data from human participants to investigate swallowing, published in a peer-reviewed English journal in 2010.",9,6 males and 3 females,19–28 years of age,Not reported,Japan,"Participant demographic information was located in the 'Subjects' subsection of the 'Materials and Methods' section. The text specifies the total number of subjects, their gender breakdown, and their age range.",Sports & Ergonomics,0,1,0,0,0,9
102,Validity of surface electromyography for vastus intermedius muscle assessed by needle electromyography.,"Recently, a new recording technique for surface electromyography (EMG) of the deeper muscle component of the quadriceps femoris muscle group, i.e., vastus intermedius (VI) muscle, from the distal portion of the VI muscle has been developed; however, the effect of electrode location on EMG signal of the VI muscle remains unclear. The aim of this study is to compare neuromuscular activation detected at the middle and distal portions of the VI muscle, in order to clarify whether the surface EMG of the VI muscle can be used to assess the neuromuscular activation of the entire muscle. Six healthy men participated in this study. During incremental ramp contraction of isometric knee extension (~30% of maximal voluntary contraction), needle EMG was recorded from the middle and distal regions of the VI muscle and surface EMG was performed at the distal region of the VI muscle. Excellent correlation was observed between needle EMG at the middle and distal regions (r=0.897-0.984, p<0.001). No significant difference was observed between correlation coefficient of surface EMG detected at the distal versus needle EMG detected at the middle and that of surface EMG detected at distal versus needle EMG detected at distal (p<0.05). These results suggest that surface EMG at the distal portion of the VI muscle, which is the only region available for surface EMG, can be used to evaluate global neuromuscular activation of the VI muscle during isometric contraction at a low force level.",2011,PubMed,Journal of Neuroscience Methods,This is a primary empirical study from 2011 investigating muscle activation using surface EMG as a core modality in human participants (healthy controls and SCI patients).,10,Control group: one man and four women; SCI group: three men and two women.,Control subjects: mean age 23.6±1.3; SCI subjects: mean age 42.4±10.6.,Not reported,Italy,Demographic information was found in the 'Participants' subsection of the 'Methods' section. The study provided separate age and gender data for the control group and the spinal cord injured (SCI) subject group.,"Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics",0,1,1,0,0,30.7
103,Muscle fiber conduction velocity is more affected after eccentric than concentric exercise.,"It has been shown that mean muscle fiber conduction velocity (CV) can be acutely impaired after eccentric exercise. However, it is not known whether this applies to other exercise modes. Therefore, the purpose of this experiment was to compare the effects of eccentric and concentric exercises on CV, and amplitude and frequency content of surface electromyography (sEMG) signals up to 24 h post-exercise. Multichannel sEMG signals were recorded from biceps brachii muscle of the exercised arm during isometric maximal voluntary contraction (MVC) and electrically evoked contractions induced by motor-point stimulation before, immediately after and 2 h after maximal eccentric (ECC group, N = 12) and concentric (CON group, N = 12) elbow flexor exercises. Isometric MVC decreased in CON by 21.7 ?? 12.0% (?? SD, p < 0.01) and by 30.0 ?? 17.7% (p < 0.001) in ECC immediately post-exercise when compared to baseline. At 2 h post-exercise, ECC showed a reduction in isometric MVC by 24.7 ?? 13.7% (p < 0.01) when compared to baseline, while no significant reduction (by 8.0 ?? 17.0%, ns) was observed in CON. Similarly, reduction in CV was observed only in ECC both during the isometric MVC (from baseline of 4.16 ?? 0.3 to 3.43 ?? 0.4 m/s, p < 0.001) and the electrically evoked contractions (from baseline of 4.33 ?? 0.4 to 3.82 ?? 0.3 m/s, p < 0.001). In conclusion, eccentric exercise can induce a greater and more prolonged reduction in muscle force production capability and CV than concentric exercise.",2011,PubMed,European Journal of Applied Physiology,The study is original empirical research using surface EMG as a core modality to investigate muscle fatigue in human participants following exercise.,24,24 Males,CON group (N=12): 27.2 ± 4.2 years; ECC group (N=12): 27.8 ± 3.8 years,Not reported,Finland,"Participant demographics are detailed in the 'Subjects' subsection of the 'Methods' section. The text specifies the total number, gender, and age with standard deviation for two separate groups.","Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics",0,1,0,0,0,8.6
104,Quadriceps EMG muscle activation during accurate soccer instep kicking.,"Six competitive soccer players were recruited to examine EMG activation in three quadriceps muscles during a kicking accuracy task. Participants performed three maximum instep place kicks of a stationary ball, 11 m perpendicular from the centre of the goal line towards targets (0.75 m(2)) in the four corners of the goal. Surface EMG of the vastus lateralis, vastus medialis, and rectus femoris of the kicking leg was normalized and averaged across all participants to compare between muscles, targets, and the phase of the kick. Although no significant difference were observed between muscles or kick phases, kicks to the right targets produced significantly greater muscle activity than those towards the left targets (P < 0.01). In addition, kicks towards the top right target demonstrated significantly greater muscle activity than towards the top and bottom left (P < 0.01). Under accurate soccer shooting conditions, kicks aimed to the top right corner of the goal demonstrated a higher level of quadriceps muscle activation than those towards the other corners.",2011,PubMed,Journal of Sports Sciences,"The study is a peer-reviewed, primary empirical investigation from 2011 that uses sEMG as a core modality to collect original data from human participants, meeting all inclusion criteria.",6,6 Males,Mean 21.2 ± 0.1 years,Not reported,UK,"Participant demographic data including sample size, gender, and age were found in the 'Participants' subsection of the 'Methods' section. Race and ethnicity were not reported.",Other / General,0,1,0,0,0,0.2
105,Differences in time-frequency representation of lower limbs myoelectric activity during single and double leg landing in male athletes.,"This study compared the instantaneous median frequency (IMF) obtained by means of a Choi-Williams transform of an electromyogram of the lower-limb muscles during single-leg (SL) and double-leg (DL) landings performed by fifteen male athletes. The IMF values of the rectus femoris (RF), biceps femoris (BF) and hip adductors (HA) were compared between two landing tasks, within each landing, and before and after ground contact (GC). The IMF values of the RF did not change between landings in contrast to those of the BF, which presented from 20- to 40-ms higher SL values before GC and from 40 to 60 ms after GC. HA presented higher SL values during the 40-60 ms range before GC. Within each landing, the RF IMF decreased from 40 ms to 60 ms after GC in the SL. Similar results were found for the HA IMF, which decreased from 40ms to 80 ms after GC. The BF IMF showed no significant change. These results suggest muscle recruitment related to anterior cruciate ligament protection since the IMF values of the RF decreased in the SL, whereas the BF IMF increased. Results for the HA showed the importance of hip muscles in stabilizing the core region, allowing the activation of distal muscles with greater safety.",2011,PubMed,Journal of Electromyography and Kinesiology,"This is a primary empirical study that collects original surface EMG data from human athletes to compare muscle recruitment during different landing tasks, meeting all inclusion criteria.",15,15 Males,Mean 13 ± 1 year,Not reported,Brazil,"Participant demographic data, including sample size, gender, and age, was explicitly stated in the first sentence of the '2. Materials and methods' section. The country of study was determined from the authors' affiliations.","HCI & Prosthetics, Neurophysiology",1,0,0,0,0,2
106,Effect of meditation on stress-induced changes in cognitive functions.,"OBJECTIVES: The objective of this study was to study the effects of meditation on stress-induced changes in cognitive functions. METHODS: The study was conducted on 32 healthy adult male student volunteers who had never practiced meditation before the study. The study consisted of practicing 20 minutes of guided meditation and administration of psychologic stress to the subjects. The psychologic stress was administered to the subjects by asking them to play a (preselected) stressful computer game. The subjects were asked to meditate either before or after the administration of psychologic stress. For the control group measurements, the subjects were asked to wait quietly for an equivalent period of meditation time. OUTCOME MEASURES: The outcome measures were galvanic skin response (GSR), heart rate (HR), electromyography (EMG), sympathetic reactivity (QTc/QS2 ratio), cortisol, and acute psychologic stress scores. The central nervous system functions were assessed using Wechsler memory scale and visual-choice reaction time (VCRT). These parameters were measured both at the beginning and at the end of the intervention, using a pre-post experimental test design. RESULTS: Computer game stress was associated with a significant increase in physiologic (GSR, EMG, HR, QTc/QS2) and psychologic (acute stress questionnaire scores) markers of stress. Meditation was associated with relaxation (significant decrease in GSR, EMG, QTc/QS2, and acute stress questionnaire scores). Meditation, if practiced before the stressful event, reduced the adverse effects of stress. Memory quotient significantly increased, whereas cortisol level decreased after both stress and meditation. VCRT showed no significant change. CONCLUSIONS: Practice of meditation produced a relaxation response even in the young adult subjects who had never practiced meditation before. The practice of meditation reduced the physiologic stress responses without taking away the beneficial effect of stress, namely, improved memory scores.",2011,PubMed,The Journal of Alternative and Complementary Medicine,The paper is a primary empirical study from 2011 that uses surface EMG as a core outcome measure to assess stress and relaxation in human participants.,32,32 Males,"Mean 27.3 ± 1.8 years, range 23-30 years",Not reported,India,"Participant demographic data, including sample size, gender, and age, were explicitly stated in the first paragraph of the 'Materials and Methods' section. The country of study was identified from the authors' institutional affiliations.","Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology",0,1,0,0,0,7
107,Effect of breathing 7% carbon dioxide on the human soleus Hoffmann-reflex recruitment curve.,"OBJECTIVE: To examine the effect of inhaling 7% carbon dioxide on the recruitment curve of the soleus H-reflex. METHODS: Five males and five females (apparently healthy; 21-40 yr) with surface EMG electrodes over the soleus muscle randomly breathed room air or a 7% CO???, 21% O???, balance N??? mix for 10 min. The tibial nerve was stimulated to elicit the H-reflex recruitment curve. H-reflex threshold, motor threshold, slope of ascending H-reflex curve, Hmax:Mmax ratio, and latency of Hmax were compared. RESULTS: Breathing 7% carbon dioxide increased the H-reflex threshold (as a percent of motor threshold) from 73% (SD 0.09) to 84% (SD 0.12; p<0.05), decreased the Hmax:Mmax ratio from 0.504 (SD 0.290) to 0.403 (SD 0.253; p<0.05), and increased the H wave latency (in msec) from 32.8 (SD 1.6) to 34.6 (SD 2.6; p<0.05). Slope of ascending H-reflex curve (room air: 125 (SD 89); CO???: 135 (SD 92); p>0.05), Mmax (room air: 3.70 mV (SD 1.57); CO???: 3.69 mV (SD 1.53); p>0.05), and motor threshold (p>0.05) remained unchanged. CONCLUSIONS: Breathing 7% carbon dioxide reduces afferent synaptic transmission in the soleus muscle by slowing transmission, increasing threshold stimulus, and reducing H wave size. SIGNIFICANCE: Clinicians and scientists should consider the possibility that carbon dioxide can reduce afferent synaptic transmission.",2011,PubMed,Medicine &amp; Science in Sports &amp; Exercise,"This is an original empirical study using surface EMG on human participants to investigate the Hoffmann-reflex, which aligns with all inclusion criteria.",10,five males and five females,"Mean 26 (SD 5) years, range: 21–40 years",Not reported,USA,"Participant demographic information was found in the '2.1. Subjects' section. The text specifies the number of participants, gender breakdown, and age details, but does not mention race or ethnicity.",Neurophysiology,0,1,1,0,0,19
109,Passive trunk loading influences muscle activation during dynamic activity.,"INTRODUCTION: Repetitive loading of the low back tissues induces tension relaxation with a corresponding variation in the myoelectric response of the neuromuscular system, which may influence low back health. The purpose of this study was to observe trunk muscle activities before and after a passive cyclic trunk flexion-extension exercise. METHODS: Nineteen participants were subjected to sagittal plane loading of the low back tissues. These individuals performed toe-touching before and over 1 hour after load termination. RESULTS: Lumbar paraspinal activity cessation occurred significantly sooner over time during lumbar and pelvic flexion post-loading, as compared with pre-loading. Lumbar paraspinal activity then re-initiated later in lumbar extension. There was no change in peak or average muscle activity during the procedures. CONCLUSIONS: It is apparent that passive loading of the viscoelastic lumbar tissues results in a prolonged neuromuscular adaptation, followed by possible neuromuscular compensation sustained within 1 hour of load termination.",2011,PubMed,Muscle & nerve,"The study is primary empirical research on human participants, published in English in 2011, and uses surface EMG as a core data collection modality to investigate muscle activation.",19,15 men and 4 women,21.3 ± 0.8 years,Not reported,USA,"Participant demographic information, including sample size, gender breakdown, and age, was found in the 'Subjects' subsection of the 'Methods' section. The country of study was inferred from the author's affiliation.","Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology",0,1,0,0,0,1.6
110,Reduced force steadiness in women with neck pain and the effect of short term vibration.,"This study compares neck force steadiness in women with neck pain and controls and the way this is influenced by short term vibration of the neck. In the first experiment, 9 women with chronic neck pain and 9 controls performed 10-s isometric cervical flexion at 15N. Intramuscular EMG was recorded from the sternocleidomastoid muscle. In the second experiment, 10 women with neck pain and 10 controls performed 10-s isometric cervical flexion at 25% of their maximal force before and after vibration to the neck (bursts of 50Hz with duration 20, 40, 60 and 120s). Surface EMG was acquired from the sternocleidomastoid and splenius capitis. In both experiments, force steadiness was characterized by the coefficient of variation (CoV) and the relative power in three frequency subbands (low: 0-3Hz; middle: 4-6Hz; high: 8-12Hz) of the force signal. Women with neck pain exhibited decreased force steadiness (Exp 1: patients 3.9??1.3%, controls 2.7??0.9%, P<0.05; Exp 2: patients 3.4??1.2%, controls 1.7??0.6%, P<0.01) which was associated with higher power in the low-frequency band (patients 71.2??9.6%, controls 56.7??9.2%, P<0.01). Following vibration, CoV (2.6??1.1%, P<0.05) and the power in the low-frequency band of the force signal decreased (63.1??13.9%, P<0.05) in the patient group. These effects were not present in controls. Motor unit behavior and surface EMG amplitude were similar between groups. In conclusion, women with neck pain have reduced force steadiness, likely due to alterations in Ia afferent input. Vibration, which modulates Ia afferent input, increases force steadiness in patients with neck pain.",2011,PubMed,Journal of Electromyography and Kinesiology,"Published in 2011, this article is an English-language peer-reviewed empirical study exploring neck pain and strength stability in women. The core methodology used surface and intramuscular electromyography (EMG) to record data from real human subjects, meeting all inclusion criteria.",38,38 women,Exp 1 patients (n=9): 40.4 ± 3.5 years; Exp 1 controls (n=9): 38.9 ± 10.5 years; Exp 2 patients (n=10): 35.3 ± 7.5 years; Exp 2 controls (n=10): 35.4 ± 8.9 years. Inclusion age range was 18-60 years.,Not reported,Denmark,"Participant demographics including sample size, gender, and age were detailed in the '2.1. Subjects' section. The country of study was inferred from the primary author affiliations and ethics committee location.","Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology",1,1,1,0,0,42
111,"Dynamically evoked, discrete-threshold electromyography in the extreme lateral interbody fusion approach.","OBJECT: because the psoas muscle, which contains nerves of the lumbar plexus, is traversed during the extreme lateral interbody fusion (XLIF) approach, appropriate nerve monitoring is needed to avoid nerve injury during surgery and prevent approach-related neural deficit. This study was performed to assess the effectiveness of dynamically evoked electromyography (EMG) to detect and prevent neural injury during the XLIF approach. METHODS: one hundred two patients undergoing XLIF at L3-4 and/or L4-5 were enrolled in a prospective, multicenter, nonrandomized clinical study. The EMG threshold values for each of the 3 successive dilators were recorded at the surface of the psoas muscle, mid-psoas, and on the spine. At each location, the dilators were rotated 360??, taking recordings immediately posterior, superior, anterior, and inferior. For each dilator, the authors noted the rotational position (the angle in degrees) at which the lowest threshold was found. Findings of pre- and postoperative neurological examinations were also recorded. RESULTS: nerves were identified within proximity of the dilators (alert-level EMG feedback) in 55.7% of all cases during the XLIF approach. Although nerves were more commonly identified in the posterior margin (63%), there was significant variability in the location of nerves identified. Despite the fact that the posterior half of the disc space was targeted in 90% of cases, no significant long-lasting neural deficits were identified in any case; 27.5% experienced new iliopsoas/hip flexion weakness and 17.6% experienced new postoperative upper medial thigh sensory loss. Transient motor deficits were identified in 3 patients (2.9%), and all had resolved by the 6-month follow-up visit. CONCLUSIONS: the ability to identify and report a discrete, real-time EMG threshold during the transpsoas approach helps to avoid nerve injury and is required for the safe performance of the XLIF procedure. Additionally, nerve location is variable, thus reinforcing the need for real-time directional and proximity information.",2011,PubMed,Journal of Neurosurgery: Spine,"This article is an English-language evidence-based clinical study published in 2011. It reports in detail how electromyography (EMG) was used as the core monitoring tool to evaluate the avoidance of nerve damage in 102 real human patients during spinal fusion surgery, which perfectly met the screening criteria.",102,62 women and 40 men,"Mean 63 years, range 21-88 years",Not reported,USA,"Participant demographic data, including total number, gender breakdown, and age details, were found in the first paragraph of the 'Results' section. The study was conducted across 9 US centers as stated in the 'Methods' section.","Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics",0,1,1,1,0,67
112,Muscular timing and inter-muscular coordination in healthy females while walking.,"The dynamic interplay between muscles surrounding the knee joint, the central nervous system and external factors require a control strategy to generate and stabilise the preferred gait pattern. The electromyographic (EMG) signal is a common measure reflecting the neuromuscular control strategies during dynamic tasks. Neuromuscular control mechanisms, found in processed EMG signals, showed a precise pacing with a pacing rhythm and a tight control of muscle activity in running and maximally contracted muscles. The purpose of this study was to provide an insight how muscles get activated during walking. The EMG power, extracted by the wavelet transform (92-395Hz), over a time period encompassing 250ms before and 250ms after heel strike was analysed. The study showed that the wavelet-based analysis of EMG signals was sufficiently sensitive to detect a synchronisation of the activation of thigh muscles while walking. The results within each single subject and within the group consisting of 10 healthy females showed that, although there was a lot of jitter in the locations of the intensity peaks, the muscle activation is controlled, on average, by a neuromuscular activity paced at about 40ms, however with variable amplitudes. Albeit the jitter of the signal, the results resolved the temporal dependency of intensity peaks within muscles surrounding the knee and provided an insight into neural control of locomotion. The methodology to assess the stabilising muscle activation pattern may provide a way to discriminate subjects with normal gait pattern form those with a deteriorated neuromuscular control strategy.",2011,PubMed,Journal of Neuroscience Methods,"This peer-reviewed empirical study published in English in 2011 recruited real healthy female subjects and used surface electromyography (sEMG) as the core data collection technology to analyze the timing and coordination of muscle activation during walking, fully meeting all inclusion criteria.",10,10 females,48 ± 7 years,Not reported,Switzerland,"Participant demographics, including sample size, gender, and age, were explicitly stated in the '2.1. Subjects' section. Race and ethnicity were not reported.","Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics",0,0,1,0,0,14
