value,count,percentage
"First International IEEE EMBS Conference on Neural Engineering, 2003. Conference Proceedings.",1,0.27
Gait & Posture,1,0.27
Gerontology,1,0.27
"Headache Clinics: Organization, Patients And Treatment",1,0.27
Hernia,1,0.27
Human Factors: The Journal of the Human Factors and Ergonomics Society,1,0.27
IEEE Internet of Things Journal,1,0.27
IEEE Transactions on Fuzzy Systems,1,0.27
IEEE Transactions on Industrial Electronics,1,0.27
IEEE Transactions on Mobile Computing,1,0.27
IEEE Transactions on Neural Networks and Learning Systems,1,0.27
IEEE Transactions on Rehabilitation Engineering,1,0.27
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",1,0.27
IEEE journal of biomedical and health informatics,1,0.27
IEEE/AsMe Transactions on Mechatronics,1,0.27
INDUSTRIAL HEALTH,1,0.27
International Endodontic Journal,1,0.27
International Journal of Chronic Obstructive Pulmonary Disease,1,0.27
International Journal of Occupational Medicine and Environmental Health,1,0.27
International Journal of Rehabilitation Research,1,0.27
International Journal of Surgery,1,0.27
International Urogynecology Journal,1,0.27
JAMA Facial Plastic Surgery,1,0.27
Journal of Affective Disorders,1,0.27
Journal of Athletic Training,1,0.27
Journal of Clinical Electrophysiology and Wound Management,1,0.27
Journal of Cranio-Maxillofacial Surgery,1,0.27
Journal of Dentistry,1,0.27
Journal of Motor Behavior,1,0.27
Journal of Neurology,1,0.27
Journal of Neuroscience,1,0.27
Journal of Neurosurgery,1,0.27
Journal of Neurosurgery: Spine,1,0.27
Journal of Oral &amp; Facial Pain and Headache,1,0.27
Journal of Orthopaedic &amp; Sports Physical Therapy,1,0.27
Journal of Orthopaedic Surgery and Research,1,0.27
Journal of Physiological Anthropology,1,0.27
Journal of Rehabilitation Medicine,1,0.27
Journal of Shoulder and Elbow Surgery,1,0.27
Journal of Sports Sciences,1,0.27
Journal of Stroke and Cerebrovascular Diseases,1,0.27
Journal of biomechanics,1,0.27
Journal of bodywork and movement therapies,1,0.27
Journal of neurophysiology,1,0.27
Journal of the Formosan Medical Association,1,0.27
Magnetic Resonance Imaging,1,0.27
Manual therapy,1,0.27
Medical Science Monitor,1,0.27
Medicina,1,0.27
Movement Disorders,1,0.27
Muscle & nerve,1,0.27
NeuroImage,1,0.27
NeuroRehabilitation,1,0.27
"NeuroRehabilitation: An International, Interdisciplinary Journal",1,0.27
Neurorehabilitation and Neural Repair,1,0.27
Neuroscience,1,0.27
Neurourology and Urodynamics,1,0.27
ORL,1,0.27
Obesity surgery,1,0.27
Occupational Therapy International,1,0.27
PLoS One,1,0.27
Parkinsonism &amp; Related Disorders,1,0.27
Patient Education and Counseling,1,0.27
Physical Therapy in Sport,1,0.27
Physiological Measurement,1,0.27
Physiotherapy theory and practice,1,0.27
Proceeding of Japanese Society of Stomatognathic Function,1,0.27
Psychoneuroendocrinology,1,0.27
Randomized controlled trial (RCT),1,0.27
Research Quarterly for Exercise and Sport,1,0.27
Research in Sports Medicine,1,0.27
Research in developmental disabilities,1,0.27
Respiration,1,0.27
Respiratory physiology & neurobiology,1,0.27
Rheumatology International,1,0.27
Scandinavian Journal of Medicine & Science in Sports,1,0.27
Scandinavian Journal of Medicine &amp; Science in Sports,1,0.27
Scandinavian Journal of Psychology,1,0.27
Scandinavian journal of medicine & science in sports,1,0.27
Sleep Medicine,1,0.27
Sports Biomechanics,1,0.27
Surgery,1,0.27
Surgical endoscopy,1,0.27
The Egyptian Journal of Surgery,1,0.27
The Foot,1,0.27
The Journal of Alternative and Complementary Medicine,1,0.27
The Journal of Physiological Sciences,1,0.27
The Journals of Gerontology Series A: Biological Sciences and Medical Sciences,1,0.27
The Knee,1,0.27
The Scientific World Journal,1,0.27
Yonsei Medical Journal,1,0.27
