ID,Title,Year,Database,Journal,demographic_relevance,demographic_relevance_label,demographic_relevance_variables,demographic_relevance_rationale
38,"Colonic transit time, sphincter EMG, and rectoanal videomanometry in multiple system atrophy.",2004,PubMed,Movement Disorders,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"Age was used for matching controls, but no demographic differences were the primary study objective."
48,The heel-contact gait pattern of habitual toe walkers.,2005,PubMed,Gait &amp; Posture,1,Demographic variables used as eligibility or control factors,age,"The study uses age-matched controls, making age a matching variable but not a central research question."
52,Functional activity characteristics of individuals with shoulder dysfunctions.,2005,PubMed,Journal of Electromyography and Kinesiology,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"Only male subjects were included, making sex an eligibility restriction rather than a central research question."
57,Relationship of spasticity to knee angular velocity and motion during gait in cerebral palsy.,2006,PubMed,Gait &amp; Posture,1,Demographic variables used as eligibility or control factors,age,"Age is used for matching between CP and control groups, but not a primary exposure or comparison."
62,Interpretation of surface EMGs in children with cerebral palsy: An initial study using a fuzzy expert system.,2006,PubMed,Journal of Orthopaedic Research,1,Demographic variables used as eligibility or control factors,age,"The study is restricted to children with cerebral palsy, using age as an implicit eligibility criterion without making it a primary focus."
64,Bowel dysfunction in patients with cauda equina lesions.,2006,PubMed,European Journal of Neurology,1,Demographic variables used as eligibility or control factors,sex/gender,Gender is examined as a correlate of constipation but is not the primary objective of the study.
69,"When the social mirror breaks: deficits in automatic, but not voluntary, mimicry of emotional facial expressions in autism.",2006,PubMed,Developmental Science,1,Demographic variables used as eligibility or control factors,sex/gender; age,"Age and gender were used as matching variables between ASD and control groups, serving as control variables but not primary exposures."
74,"Electromyography of superficial and deep neck muscles during isometric, voluntary, and reflex contractions.",2007,PubMed,Journal of Biomechanical Engineering,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study restricted participants to males aged 28-41, using sex and age as eligibility criteria, but demographic comparisons were not the research focus."
77,Utility of portable electromyography for quantifying muscle activity during daily use.,2008,PubMed,Gerontology,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study restricts participation to older men for comparison, but sex and age are not the primary focus of the research."
78,Muscle activation during selected strength exercises in women with chronic neck muscle pain.,2008,PubMed,Physical Therapy,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study only includes women aged 30-60 as eligibility criteria, but demographic comparisons are not the central research question."
83,Short-term effects of implemented high intensity shoulder elevation during computer work.,2009,PubMed,BMC Musculoskeletal Disorders,1,Demographic variables used as eligibility or control factors,sex/gender,"The study included only female participants as an inclusion criterion, but sex/gender is not a primary comparison or central objective."
85,Behavioural treatment of the dyssynergic defecation in chronically constipated elderly patients: a randomized controlled trial.,2009,PubMed,Applied psychophysiology and biofeedback,1,Demographic variables used as eligibility or control factors,sex/gender; age,The study limits participants to elderly individuals but does not compare age groups or sex; thus demographics serve as eligibility criteria.
97,Ankle muscle activation when using the Both Sides Utilized (BOSU) balance trainer.,2010,PubMed,Journal of Strength and Conditioning Research,1,Demographic variables used as eligibility or control factors,sex/gender,"The study restricted participants to males, using sex as an inclusion criterion, but sex is not a primary exposure or comparison factor."
105,Differences in time-frequency representation of lower limbs myoelectric activity during single and double leg landing in male athletes.,2011,PubMed,Journal of Electromyography and Kinesiology,1,Demographic variables used as eligibility or control factors,sex/gender,"The study restricted participants to male athletes, using sex as an eligibility criterion, but the primary comparison is between landing tasks, not sex."
106,Effect of meditation on stress-induced changes in cognitive functions.,2011,PubMed,The Journal of Alternative and Complementary Medicine,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study restricts participants to young adult males (inclusion criteria) but the central research question concerns meditation and stress, not demographic comparisons."
110,Reduced force steadiness in women with neck pain and the effect of short term vibration.,2011,PubMed,Journal of Electromyography and Kinesiology,1,Demographic variables used as eligibility or control factors,sex/gender,"The study restricts participants to women, using sex as an inclusion criterion rather than a central research objective."
112,Muscular timing and inter-muscular coordination in healthy females while walking.,2011,PubMed,Journal of Neuroscience Methods,1,Demographic variables used as eligibility or control factors,sex/gender,"The study enrolled only healthy females, using sex as an inclusion criterion, but sex is not the central research objective."
115,Type 2 diabetes mellitus patients manifest characteristic spatial EMG potential distribution pattern during sustained isometric contraction.,2012,PubMed,Diabetes Research and Clinical Practice,1,Demographic variables used as eligibility or control factors,sex/gender; age,"Age was used for matching and only men were included, so demographics are used as control/inclusion criteria but not as primary exposures."
117,Effect of strength training on rate of force development in older women.,2012,PubMed,Research Quarterly for Exercise and Sport,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study only includes older women, using age and sex as eligibility criteria, but the central objective is the effect of strength training, not demographic comparisons."
121,Antagonist muscle moment is increased in ACL deficient subjects during maximal dynamic knee extension.,2012,PubMed,The Knee,1,Demographic variables used as eligibility or control factors,age,"Age was used for matching controls, but not a primary comparison factor."
127,Sitting movement in elderly subjects with and without Parkinson's disease: a biomechanical study.,2013,PubMed,Journal of Electromyography and Kinesiology,1,Demographic variables used as eligibility or control factors,age,"The study is limited to elderly subjects, using age as an eligibility criterion, but age is not the central research question."
139,Altered flexion-relaxation responses exist during asymmetric trunk flexion movements among persons with unilateral lower-limb amputation.,2014,PubMed,Journal of Electromyography and Kinesiology,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study includes only male participants, using sex as an inclusion restriction rather than a primary comparison or exposure."
151,Diagnostic accuracy of common clinical tests for assessing abdominal muscle function after motor-complete spinal cord injury above T6.,2015,PubMed,Spinal Cord,1,Demographic variables used as eligibility or control factors,sex/gender; age,"Demographic variables were used only for matching able-bodied controls to SCI participants, not as primary exposures or comparisons."
152,Short-Term Sensorimotor Effects of Experimental Occlusal Interferences on the Wake-Time Masseter Muscle Activity of Females with Masticatory Muscle Pain.,2015,PubMed,Journal of Oral &amp; Facial Pain and Headache,1,Demographic variables used as eligibility or control factors,sex/gender,"The study restricts participation to females as an inclusion criterion, but sex/gender is not a primary comparison or exposure; the focus is on occlusal interference effects."
160,Naltrexone increases negatively-valenced facial responses to happy faces in female participants.,2016,PubMed,Psychoneuroendocrinology,1,Demographic variables used as eligibility or control factors,sex/gender,"The study restricted participants to females (sex as eligibility criterion), but the research question focuses on naltrexone's effect on facial mimicry, not sex differences."
163,Effect of exercise therapy on neuromuscular activity and knee strength in female adolescents with patellofemoral pain-An ancillary analysis of a cluster randomized trial.,2016,PubMed,Clinical Biomechanics,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study restricts participants to female adolescents, using sex and age as eligibility criteria, but the research question focuses on the effect of exercise therapy, not comparing demographic groups."
169,Taste-Elicited Activity in Facial Muscle Regions in 5-8-Week-Old Infants.,2017,PubMed,Chemical Senses,1,Demographic variables used as eligibility or control factors,age,"The study limited participants to 5-8-week-old infants, using age as an eligibility criterion, but age was not a primary exposure or comparison factor."
185,"A Learning Scheme for EMG Based Decoding of Dexterous, In-Hand Manipulation Motions",2019,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1,Demographic variables used as eligibility or control factors,sex/gender; related physiology,"The study includes an analysis of the effect of gender and hand size on decoding accuracy, which is a stratification analysis, but these variables are not the primary focus of the research."
187,The effect of surface electromyography biofeedback on the activity of extensor and dorsiflexor muscles in elderly adults: a randomized trial.,2019,PubMed,Scientific reports,1,Demographic variables used as eligibility or control factors,age,"Age is used as an eligibility criterion by restricting the study population to elderly adults, but it is not a primary comparison or exposure."
190,Contra-Lateral Unintended Upper Arm Movement during Unimanual Tasks in Children with Cerebral Palsy.,2020,PubMed,Yonsei Medical Journal,1,Demographic variables used as eligibility or control factors,age,Age was included as a predictor in multiple regression but not as a primary exposure or central study objective.
206,Electromyographic comparison of vastus medialis obliquus facilitatory versus vastus lateralis inhibitory kinesio taping in athletes with patellofemoral pain: A randomized clinical trial.,2021,PubMed,Journal of Bodywork and Movement Therapies,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study restricts participants to female athletes, using sex as an eligibility criterion, and reports age descriptively; no demographic variables are primary exposures or central objectives."
211,Effect of Core Stability Training on Correction and Surface Electronic Signals of Paravertebral in Adolescent Idiopathic Scoliosis.,2022,PubMed,BioMed Research International,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study includes only female adolescents, using sex and age as eligibility criteria, which are not the central research question."
237,Neuromuscular activation following anti-movement and dynamic core training: a randomized controlled comparative study.,2025,PubMed,European Journal of Applied Physiology,1,Demographic variables used as eligibility or control factors,sex/gender,"The study inclusion is restricted to trained men, using sex as an eligibility criterion, but the primary objective is comparing training methods, not sex differences."
239,"The Effect of The 8-Week Core Muscle Training in Swimming Time, Swimming Force and Core Muscle Activity Among Swimmers: A Randomized Controlled Trial.",2025,PubMed,Journal of Sports Science and Medicine,1,Demographic variables used as eligibility or control factors,sex/gender,"The study stratified results by sex to examine potential differences, but sex was not the primary exposure or central study objective."
243,Three sets of low-intensity resistance exercises with slow movement and tonic force generation cause more muscular fatigue.,2025,PubMed,Journal of Physiological Anthropology,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study restricted participants to healthy males, using sex as an inclusion criterion, but sex was not a primary exposure or central objective."
245,Comparing muscle coordination patterns in yoga-focused exercises with those in standard stabilization exercises.,2025,PubMed,Journal of Bodywork and Movement Therapies,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study only includes healthy males, making sex an inclusion criterion, but sex/gender is not the central research question."
253,Multifocal transcranial direct current stimulation enhances lower limb jump performance and neuromuscular adaptation in female collegiate basketball players.,2026,PubMed,PeerJ,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study limits participants to female collegiate athletes, using sex and age as eligibility restrictions, but these are not central research questions or primary comparisons."
259,EMG and strength correlates of selected shoulder muscles during rotations of the glenohumeral joint.,2000,PubMed,Clinical Biomechanics,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study restricted participants to young males, using age and sex as inclusion criteria, but these demographic variables are not the central research question."
262,Abdominal muscle activation of elite male golfers with chronic low back pain.,2001,PubMed,Medicine &amp; Science in Sports &amp; Exercise,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study restricts participation to elite male golfers, making sex/gender an eligibility criterion but not a primary exposure or comparison."
263,A new approach of measuring muscle impairment during a functional task: quadriceps muscle activity recorded during chair stand.,2001,PubMed,The Journals of Gerontology Series A: Biological Sciences and Medical Sciences,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study is limited to older women, so sex and age act as inclusion restrictions, not as the primary research question."
287,"Electromyographic activity of masticatory, neck and trunk muscles of subjects with different skeletal facial morphology--a cross-sectional evaluation.",2007,PubMed,Journal of Oral Rehabilitation,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity,"The study restricted participants to Caucasian adult females, but the primary comparison was between skeletal facial morphology groups, not demographic variables."
288,Effects of two days of isokinetic training on strength and electromyographic amplitude in the agonist and antagonist muscles.,2007,PubMed,The Journal of Strength and Conditioning Research,1,Demographic variables used as eligibility or control factors,sex/gender,"The study only included male participants, so sex is used as an eligibility criterion, but it is not the central research question."
293,Rapid muscle activation and force capacity in conditions of chronic musculoskeletal pain.,2008,PubMed,Clinical Biomechanics,1,Demographic variables used as eligibility or control factors,sex/gender,"The study includes only women as participants, using sex as an inclusion criterion; the central research question focuses on the effect of chronic pain on muscle activation, not a demographic comparison."
300,Physical performance and electromyographic responses to an acute bout of paired set strength training versus traditional strength training.,2010,PubMed,Journal of Strength and Conditioning Research,1,Demographic variables used as eligibility or control factors,sex/gender,"The study includes only trained males, using sex as an inclusion criterion, but does not make sex a central comparison or exposure."
308,Stable tooth contacts in intercuspal occlusion makes for utilities of the jaw elevators during maximal voluntary clenching.,2013,PubMed,Journal of Oral Rehabilitation,1,Demographic variables used as eligibility or control factors,sex/gender; age,"Study restricted to healthy young adult males, but sex and age are not central study objectives."
321,Implementation of EMG- and Force-Based Control Interfaces in Active Elbow Supports for Men With Duchenne Muscular Dystrophy: A Feasibility Study,2016,IEEE,IEEE transactions on neural systems and rehabilitation engineering,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study restricts participants to men with DMD aged 21-22, using sex and age as inclusion criteria but not as primary comparison factors."
324,Comparing electro- and mechano-myographic muscle activation patterns in self-paced pediatric gait.,2017,PubMed,Journal of Electromyography and Kinesiology,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on pediatric gait, using age as an inclusion criterion, but demographic differences are not a central objective."
329,Gait analysis on force treadmill in children: comparison with results from ground-based force platforms.,2017,PubMed,International Journal of Rehabilitation Research,1,Demographic variables used as eligibility or control factors,age,"Age is used to stratify participants into groups for methodological comparison, but the central research question is validating a gait analysis method, not examining age-related differences."
335,Abdominal and pelvic floor electromyographic analysis during abdominal hypopressive gymnastics.,2018,PubMed,Journal of bodywork and movement therapies,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study restricts participants to women aged 18-35, using sex/gender and age as eligibility criteria, but these are not the central research question."
336,Evaluation of integral electromyographic values and median power frequency values in women with myogenous temporomandibular disorder and asymptomatic controls.,2018,PubMed,Journal of Bodywork and Movement Therapies,1,Demographic variables used as eligibility or control factors,sex/gender; age,"The study includes only women, using sex as an inclusion criterion, but the primary comparison is between women with TMD and asymptomatic women, not between sexes or other demographic groups."
345,Effects of the head lift exercise and neuromuscular electrical stimulation on swallowing muscles activity in healthy older adults: a randomized pilot study.,2019,PubMed,Clinical Interventions in Aging,1,Demographic variables used as eligibility or control factors,age,"The study restricts enrollment to healthy older adults, making age an eligibility criterion but not a primary exposure or comparison factor."
347,EMG-Force and EMG-Target Models During Force-Varying Bilateral Hand-Wrist Contraction in Able-Bodied and Limb-Absent Subjects,2020,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1,Demographic variables used as eligibility or control factors,related physiology,"Limb-absent status is used to define subject groups for comparing model output sources, but the primary research question is methodological (alternative output sources) rather than physiological differences."
354,"Effect of two Dynamic Tape™ applications on the electromyographic activity of the gluteus medius and functional performance in women: A randomized, controlled, clinical trial.",2021,PubMed,Journal of Bodywork and Movement Therapies,1,Demographic variables used as eligibility or control factors,sex/gender,"The study exclusively includes women as an inclusion criterion, but sex/gender is not the primary exposure or comparison factor."
356,"Effects of combined whole body vibration and resistance training on lower quadrants electromyographic activity, muscle strength and power in athletes.",2021,PubMed,The Foot,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study limited participants to male athletes, using sex as an inclusion criterion, but the primary objective was to compare training methods, not demographic effects."
374,Surface electromyography evaluation of selected manual and physical therapy interventions in women with temporomandibular joint pain and limited mobility. Randomized controlled trial (RCT).,2023,PubMed,Randomized controlled trial (RCT),1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study only includes women, so sex/gender is used as an eligibility criterion, not as a primary exposure or comparison."
377,An Exosuit System With Bidirectional Hand Support for Bilateral Assistance Based on Dynamic Gesture Recognition,2024,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1,Demographic variables used as eligibility or control factors,age,The study targets elderly individuals as the population of interest but does not compare age groups or investigate age-related differences.
382,Tongue brushing enhances the myoelectric activity of the suprahyoid muscles in older adults: a six-week randomized controlled trial.,2024,PubMed,Scientific Reports,1,Demographic variables used as eligibility or control factors,age,"The study restricts participants to older adults (aged ≥65) as an eligibility criterion, but age is not a primary exposure or comparison factor; the main objective is to test an intervention effect."
387,Comparative Analysis of SCM Muscle Fatigue in Office Workers with Hunched Posture: A Study on Chronic Lower Back Pain versus Non-Affected Individuals.,2025,PubMed,Biotechnology and Applied Biochemistry,1,Demographic variables used as eligibility or control factors,age,"Age is used as a matching variable to control for demographic differences, but the primary comparison is between chronic LBP and non-LBP groups, not demographic differences."
390,Acute cross-education effect on force production and central/peripheral responses to unilateral eccentric and concentric resistance exercise in elbow flexors.,2025,PubMed,Journal of Neurophysiology,1,Demographic variables used as eligibility or control factors,sex/gender,"The study only included healthy men, so sex is used as an eligibility criterion but not a primary exposure or comparison."
396,Estimated moments at L5/S1 level and muscular activation of back extensors for six prone back extension exercises in healthy individuals.,2002,PubMed,Scandinavian Journal of Medicine &amp; Science in Sports,1,Demographic variables used as eligibility or control factors,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study restricted participation to males, using sex as an inclusion criterion, but the primary aim was to compare back extension exercises, not to investigate demographic differences."
397,"Using risk factors, myoelectric signal, and finger tremor to distinguish computer users with and without musculoskeletal symptoms.",2008,PubMed,European Journal of Applied Physiology,1,Demographic variables used as eligibility or control factors,sex/gender; age,"Age and sex are included as potential predictors in regression models to distinguish symptomatic from non-symptomatic users, but they are not the primary exposure or central study objective."
400,Development of an EMG-ACC-Based Upper Limb Rehabilitation Training System.,2017,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1,Demographic variables used as eligibility or control factors,age,"The study includes only children with cerebral palsy, using age as an eligibility criterion, but age is not a primary exposure or comparison factor."
