ID,Title,Year,Database,Journal,demographic_relevance,demographic_relevance_label,demographic_relevance_variables,demographic_relevance_rationale
73,Abnormal surface EMG during clinically normal wrist movement in cervical dystonia.,2007,PubMed,European Journal of Neurology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares cervical dystonia patients to healthy controls without mentioning demographic variables as part of the research question.
75,Extroversion-related differences in speed of premotor and motor processing as revealed by lateralized readiness potentials.,2008,PubMed,Journal of Motor Behavior,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares introverts and extroverts based on personality traits, not demographic variables."
76,Gastric dysmotility in patients with major depression.,2008,PubMed,Journal of Affective Disorders,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The abstract does not mention any demographic variables or use them as part of the research question; the study focuses on gastric electrical activity in depression patients versus controls.
79,Time and frequency domain responses of the mechanomyogram and electromyogram during isometric ramp contractions: a comparison of the short-time Fourier and continuous wavelet transforms.,2008,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on comparing signal processing methods and does not investigate demographic or physiological differences.
80,Waking-state oral parafunctional behaviors: specificity and validity as assessed by electromyography.,2008,PubMed,European journal of oral sciences,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares TMD patients and healthy controls and does not include demographic variables as exposures or central research questions.
81,Entropy-Based Optimization of Wavelet Spatial Filters,2008,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses exclusively on a technical method for EMG signal processing, with no mention or comparison of demographic variables."
82,Comparative study between biofeedback retraining and botulinum neurotoxin in the treatment of anismus patients.,2009,PubMed,The Egyptian Journal of Surgery,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares treatments for anismus and does not investigate demographic differences; demographics are only described.
84,Decoding of Individuated Finger Movements Using Surface Electromyography,2009,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,,"The study focuses on decoding finger movements and compares amputee vs able-bodied, not demographic or physiological differences listed in the scheme."
86,A Combined sEMG and Accelerometer System for Monitoring Functional Activity in Stroke,2009,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The abstract does not mention any demographic variables; the research question focuses on sensor classification accuracy for stroke patients.
87,Mapping the compound muscle action potentials of cricothyroid muscle using electromyography in thyroid operations: a novel method to clinically type the external branch of the superior laryngeal nerve.,2009,PubMed,Annals of Surgery,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,No demographic variables are part of the research question; the study focuses on clinical typing of the external branch of the superior laryngeal nerve using EMG.
88,Applicability of the coactivation method in assessing synergies of the scapular stabilizing muscles.,2009,PubMed,Journal of Shoulder and Elbow Surgery,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on EMG coactivation of scapular muscles without any demographic variables in the research question or design.
89,Comparison of critical force to EMG fatigue thresholds during isometric leg extension.,2009,PubMed,Medicine &amp; Science in Sports &amp; Exercise,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The abstract focuses on comparing critical force and EMG fatigue thresholds in leg muscles without addressing any demographic variables.
90,Mechanism and treatment of dropped head syndrome associated with parkinsonism.,2009,PubMed,Parkinsonism &amp; Related Disorders,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study describes the sex distribution (2 men, 26 women) but does not use demographic variables as primary exposures or comparisons; they are not part of the central research question."
91,Adaptive pattern recognition of myoelectric signals: exploration of conceptual framework and practical algorithms.,2009,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,0,Demographic variables not part of the research question,,Demographic variables are not mentioned as part of the research question; the study focuses on algorithm adaptation for myoelectric signals.
92,Facial expression arousal level modulates facial mimicry.,2010,PubMed,International Journal of Psychophysiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on facial expression arousal level and presentation mode, with no mention of demographic variables as exposures, outcomes, or covariates."
93,Distribution of motor unit potential velocities in the biceps brachii muscle of sprinters and endurance athletes during short static contractions at low force levels.,2010,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares sprinters and endurance athletes; demographic variables are not part of the research question.
94,Electromyographic and cephalometric correlation with the predominant masticatory movement.,2010,PubMed,Proceeding of Japanese Society of Stomatognathic Function,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study describes sex and age but does not use them as primary exposures or comparisons; demographics are merely descriptive and not central to the research question.
96,Isometric back muscle endurance: an EMG study on the criterion validity of the Ito test.,2010,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study only reported the number of female participants as part of sample description and did not treat any demographic variable as an exposure or comparison factor.
99,A New Control Method for Power-Assisted Wheelchair Based on the Surface Myoelectric Signal,2010,IEEE,IEEE Transactions on Industrial Electronics,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"Demographic variables are not mentioned or part of the research question, which solely concerns engineering a myoelectric signal-based power-assist wheelchair controller."
101,Relationship between ease of swallowing and deglutition-related muscle activity in various postures.,2010,PubMed,Journal of Oral Rehabilitation,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study examines the relationship between swallowing ease and muscle activity across different postures, with demographic variables only used to describe the sample and not as part of the research question."
102,Validity of surface electromyography for vastus intermedius muscle assessed by needle electromyography.,2011,PubMed,Journal of Neuroscience Methods,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on EMG technique validation without involving demographic comparisons; participants are described as healthy men but this is not a demographic research question.
103,Muscle fiber conduction velocity is more affected after eccentric than concentric exercise.,2011,PubMed,European Journal of Applied Physiology,0,Demographic variables not part of the research question,,The study focuses on exercise mode (eccentric vs concentric) and does not investigate demographic/skin/physiological differences.
104,Quadriceps EMG muscle activation during accurate soccer instep kicking.,2011,PubMed,Journal of Sports Sciences,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The abstract does not mention any demographic variables or use them in the research question, eligibility criteria, or analysis."
107,Effect of breathing 7% carbon dioxide on the human soleus Hoffmann-reflex recruitment curve.,2011,PubMed,Medicine &amp; Science in Sports &amp; Exercise,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study examines the effect of CO2 on H-reflex, with demographics merely describing the participant sample and not forming part of the research question."
109,Passive trunk loading influences muscle activation during dynamic activity.,2011,PubMed,Muscle & nerve,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study does not mention or compare any demographic variables; the research question focuses solely on the effect of passive loading on muscle activation.
111,"Dynamically evoked, discrete-threshold electromyography in the extreme lateral interbody fusion approach.",2011,PubMed,Journal of Neurosurgery: Spine,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The abstract focuses on surgical EMG monitoring and outcomes without mentioning demographic variables in the research question, eligibility, or analysis."
113,Muscle activation strategies during strength training with heavy loading vs. repetitions to failure.,2012,PubMed,Journal of Strength and Conditioning Research,0,Demographic variables not part of the research question,sex/gender,The study exclusively recruited women but does not compare sexes or investigate sex/gender differences; demographics are not part of the primary research question.
114,Comparison of ambulatory and polysomnographic recording of jaw muscle activity during sleep in normal subjects.,2012,PubMed,Journal of Oral Rehabilitation,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares recording methods for jaw muscle activity and does not involve demographic variables as part of the research question.
116,Quantitative electromyography improves prediction in vocal fold paralysis.,2012,PubMed,The Laryngoscope,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The abstract does not mention any demographic variables as part of the research question, eligibility criteria, or central study objectives."
118,Incomplete swallowing and retracted tongue maneuvers for electromyographic signal normalization of the extrinsic muscles of the larynx.,2012,PubMed,Journal of Voice,0,Demographic variables not part of the research question,,The study does not mention any demographic variables; its purpose is purely methodological regarding EMG signal normalization maneuvers.
119,The Cybernetic Rehabilitation Aid: Preliminary Results for Wrist and Elbow Motions in Healthy Subjects,2012,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on testing a rehabilitation device on healthy subjects without any demographic comparisons or restrictions.
120,Vestibular-dependent spinal reflexes evoked by brief lateral accelerations of the heads of standing subjects.,2012,PubMed,Journal of Applied Physiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study investigates vestibular-dependent spinal reflexes without any focus on demographic variables; demographics are not mentioned as part of the research question.
122,A preliminary quantitative analysis of REM sleep chin EMG in Parkinson's disease with or without REM sleep behavior disorder.,2012,PubMed,Sleep Medicine,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares PD patients with and without RBD; demographics are only described as sample characteristics and not part of the research question.
124,"Comparison of electromyographic signals from monopolar current and potential amplifiers derived from a penniform muscle, the gastrocnemius medialis.",2013,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares EMG measurement configurations and does not involve demographic variables as part of the research question.
125,Kinematic and electromyographic analysis of the Nordic Hamstring Exercise.,2013,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on biomechanical analysis with no demographic comparisons or restrictions mentioned.
126,Neural drive increases following resistance training in patients with multiple sclerosis.,2013,PubMed,Journal of Neurology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study investigates training effects on EMG activity in MS patients without demographic comparisons as the central objective.
128,Electromyography-Based Locomotion Pattern Recognition and Personal Positioning Toward Improved Context-Awareness Applications,2013,IEEE,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on EMG-based locomotion recognition and positioning without any demographic comparisons or restrictions.
130,Neuromuscular differences between boys with and without intellectual disability during squat jump.,2013,PubMed,Research in developmental disabilities,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares boys with and without intellectual disability, not any listed demographic variable; demographics are not part of the research question."
131,Wireless Surface Electromyography Probes With Four High-Speed Channels,2013,IEEE,IEEE Sensors Journal,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on the technical specifications of wireless sEMG probes and does not include demographic variables as part of the research question.
133,The effects of post-stroke upper-limb training with an electromyography (EMG)-driven hand robot.,2013,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study evaluates post-stroke training effects using an EMG-driven robot without any demographic comparisons or restrictions mentioned in the title or abstract.
134,Kinematic and electromyographic comparisons between chin-ups and lat-pull down exercises.,2013,PubMed,Sports Biomechanics,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares kinematics and EMG between exercises and muscle groups with no mention of demographic variables as part of the research question.
135,An IC-PLS Framework for Group Corticomuscular Coupling Analysis,2013,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,,"The study focuses on a methodological framework for corticomuscular coupling analysis and its application in Parkinson's disease, with no demographic variables as primary exposures or comparisons."
137,Development of a speech-discriminating electromyogram system for routine ambulatory recordings for the low-level masseter muscle activity.,2014,PubMed,Journal of oral rehabilitation,0,Demographic variables not part of the research question,sex/gender; age,"The study focuses on developing an EMG system for speech discrimination, and participant sex and age are only descriptively reported without being part of the research question."
138,On the effect of thermal agents in the response of the brachial biceps at different contraction levels.,2014,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares EMG responses between cryotherapy, short-wave diathermy, and control groups, with no demographic variables as primary exposures or eligibility restrictions."
140,A comparison of the real-time controllability of pattern recognition to conventional myoelectric control for discrete and simultaneous movements.,2014,PubMed,Journal of NeuroEngineering and Rehabilitation,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares three myoelectric control strategies in amputees, with no demographic variables as primary exposures or comparisons; demographics are not part of the research question."
141,"Support Vector Regression for Improved Real-Time, Simultaneous Myoelectric Control",2014,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The abstract does not mention any demographic or physiological variables as part of the research question; the study focuses on technical performance of SVM vs ANN for myoelectric control.
142,A comparison of surface and fine wire EMG recordings of gluteus medius during selected maximum isometric voluntary contractions of the hip.,2014,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares electrode types, not demographic differences; participants are simply healthy adults with no demographic stratification or analysis."
